address,price,village,direction,renovation,square,lease_way,floor,area,layout
广安门外,3550,京铁和园,东,精装修,40 ,整租,低层/共28层,西城,1室1厅1卫
九棵树,4600,阿尔法社区B区,南北,精装修,133,整租,中层/共6层,通州,3室2厅2卫
九棵树,18000,龙湖蔚澜香醍,南共,,270,整租,5层,通州,4室2厅1卫
顺义城区,3400,义宾北区,南北,精装修,80 ,整租,高层/共6层,顺义,2室1厅1卫
小汤山,2500,龙脉花园,南,精装修,89 ,整租,北共5层,昌平,2室2厅1卫
黄村,2600,富强西里,南北,简单装修,88 ,整租,高层/共6层,大兴,2室1厅1卫
朝青板块,23500,天鹅湾南区,西南,简单装修,138,整租,中层/共18层,朝阳,3室2厅3卫
常营,1680,天赐良园,东,精装修,18 ,合租 - 次卧 - 男女不限,中层/共28层,朝阳,2室1厅1卫
潘家园,5100,松榆东里,南,,60 ,整租,低层/共18层,朝阳,2室1厅1卫
永定,1500,惠润嘉园,南,精装修,16 ,合租 - 主卧 - 男女不限,低层/共19层,门头沟,3室1厅1卫
黄村,2200,佟馨家园,暂无,,28 ,合租 - 主卧 - 男女不限,信息,大兴,3室2厅2卫
中央别墅区,5000,IDCITY艾迪城,西,简单装修,65 ,整租,高层/共9层,顺义,2室2厅2卫
劲松,5600,劲松八区,北,精装修,104,整租,中层/共21层,朝阳,3室1厅1卫
通州区金禧花园,面议,南高层/共9层,南,豪华装修,30 ,合租 - 主卧 - 限女生,高层/共9层,  暂无信息,2室2厅1卫
中关村,3200,科育社区,东,精装修,20 ,合租 - 主卧 - 限女生,中层/共10层,海淀,2室1厅1卫
北苑,8000,天居园,南,精装修,109,整租,高层/共32层,朝阳,2室1厅2卫
西罗园,5500,洋桥北里,南,精装修,75 ,整租,高层/共6层,丰台,3室1厅1卫
牡丹园,5800,牡丹园北里,南,精装修,65 ,整租,低层/共18层,海淀,2室1厅1卫
窦店,800,沁园春景,暂无,,30 ,合租 - 次卧 - 限女生,信息,房山,1室1厅1卫
清河,5200,永泰东里,南北,精装修,65 ,整租,中层/共6层,海淀,2室1厅1卫
九棵树,5900,K2玉兰湾,南北,精装修,92 ,整租,中层/共20层,通州,2室1厅1卫
双桥,2500,双惠苑,暂无,,18 ,合租 - 主卧 - 男女不限,信息,朝阳,3室1厅1卫
良乡,2500,超级蜂巢,南,精装修,42 ,整租,中层/共9层,房山,1室1厅1卫
天竺,4500,天竺新村,南北,简单装修,80 ,整租,中层/共6层,顺义,2室1厅1卫
通州北苑,4200,杨庄北街1号院,南北,精装修,100,整租,高层/共6层,通州,2室2厅1卫
健翔桥,5399,华严北里小区,南,精装修,70 ,整租,中层/共6层,朝阳,2室1厅1卫
后沙峪,4000,顺义绿地启航国际,南,精装修,70 ,整租,中层/共13层,顺义,2室1厅1卫
花乡,6500,怡海花园,西南,精装修,102,整租,中层/共29层,丰台,2室1厅1卫
小西天,1500,红联北村,南,精装修,17 ,合租 - 次卧 - 男女不限,低层/共6层,海淀,3室1厅1卫
霍营,1600,华龙苑南里,暂无,,20 ,合租 - 主卧 - 限女生,信息,昌平,3室1厅1卫
